RGI_ID;type;name;comment
RGI60-13.31963;non plateau;;
RGI60-13.33141;non plateau;;
RGI60-13.33166;non plateau;;
RGI60-13.54165;non plateau;;
RGI60-13.00627;non plateau;;BAD FIT
RGI60-13.00954;non plateau;;
RGI60-13.25825;non plateau;;RELATIVELY BAD FIT
RGI60-13.31965;non plateau;;
RGI60-15.02661;non plateau;;BAD FIT
RGI60-15.02315;non plateau;;RELATIVELY BAD FIT
RGI60-15.12662;non plateau;;
RGI60-15.04070;non plateau;;RELATIVELY BAD FIT
RGI60-15.09149;non plateau;;
RGI60-15.03928;non plateau;;
RGI60-15.10362;non plateau;;
RGI60-15.05464;non plateau;;RELATIVELY BAD FIT
RGI60-15.05609;non plateau;;RELATIVELY BAD FIT
RGI60-15.04867;non plateau;;BAD FIT
RGI60-15.04870;non plateau;;RELATIVELY BAD FIT
RGI60-14.12409;non plateau;;
RGI60-15.06298;non plateau;;
RGI60-15.07374;plateau;Karanag;
RGI60-15.10994;plateau;KubiKangri;
RGI60-15.05606;plateau;TshoKarpo;
RGI60-15.04830;plateau;Dhaulagiri;
RGI60-15.04541;plateau;PanbariHimal;
RGI60-15.04075;plateau;TsangbuRi;
RGI60-15.10255;plateau;Shishapangma;
RGI60-15.03448;plateau;Dangnok;
RGI60-15.10434;plateau;Jongson;Aka Kaer;
RGI60-13.26239;plateau;Zeng;
RGI60-13.00965;plateau;Qiaqing;
RGI60-13.32806;plateau;TC_qilian;
RGI60-13.33980;plateau;TC_kunlunCentral;
RGI60-13.53958;plateau;TC_plateauWest;
RGI60-13.53223;plateau;Chongce;
RGI60-15.07374;plateau;TC_himalayaWest;
RGI60-15.03448;plateau;TC_karakoramCentral;
RGI60-14.24900;plateau;TC_hindukush;
RGI60-13.41822;plateau;TC_pamirEast;
RGI60-13.13595;plateau;TC_pamirCentral;
RGI60-13.18096;plateau;Abramov;
RGI60-13.48040;plateau;TC_tienNorth;
RGI60-13.05479;plateau;TC_tienNorth2;
RGI60-13.29436;plateau;TC_tienEast;
RGI60-13.45335;plateau;UrumqiNo1;
RGI60-13.45075;plateau;TC_gobi;
RGI60-13.31151;plateau;Aerqialeteer;
